"","agg_code","agg_desc","Equipment","IPP","Structures"
"1","11","Agri, Forestry, Fishing",0.811885009950622,0.00460403091041213,0.183510959138966
"2","21","Mining, Fossil Extraction",0.160237716931604,0.0225926899268132,0.817169593141583
"3","22","Electricity, Water",0.454419703094751,0.0482449368178873,0.497335360087361
"4","23","Construction",0.847568094763586,0.0391556984279427,0.113276206808471
"5","31","Food, Drink, Textile, Apparel",0.562375501865715,0.241215134376677,0.196409363757609
"6","32","Bio, Chemical, Mineral Products",0.349846021446666,0.560856917687642,0.0892970608656914
"7","33","Metal, Vehicles, Machinery",0.281571182561031,0.640854275828005,0.0775745416109641
"8","42","Wholesale Trade",0.485171037119175,0.393530958855873,0.121298004024952
"9","4X","Retail Trade",0.464383313366234,0.174188426311572,0.361428260322195
"10","48","Transport",0.674474625088118,0.0364767063522563,0.289048668559626
"11","49","Delivery, Warehousing",0.622966239610054,0.151161662678417,0.225872097711529
"12","51","Information Industries",0.260388453013789,0.618746289728798,0.120865257257413
"13","52","Finance, Insurance",0.507017099636341,0.326652106067705,0.166330794295954
"14","53","Housing, Real Estate",0.131892545981975,0.00470660752855649,0.863400846489469
"15","54","Science, Prof. Services",0.260370094443349,0.689323076612772,0.0503068289438782
"16","55","Management",0.149159367526448,0.668419932730045,0.182420699743508
"17","56","Admin, Support, Waste Services",0.4278180103016,0.470615646575666,0.101566343122733
"18","61","Education",0.281485012955181,0.34070703100916,0.37780795603566
"19","62","Healthcare, Social assistance",0.631409939265309,0.118717165455646,0.249872895279045
"20","71","Arts, Entertainment, Recreation",0.256776023357229,0.451839840412616,0.291384136230155
"21","72","Accommodation, Restaurants",0.482482711335228,0.027953002342268,0.489564286322504
"22","81","Repair, Personal services",0.373182693389802,0.235041444544843,0.391775862065355
"23","S0","Govt., Reuse, Trade Adjustments",0.239136771168613,0.378191416913131,0.382671811918256
